iterations,score
1000,50
1000,48
1000,46
1000,38
1000,38
1000,47
1000,49
1000,49
1000,44
1000,48
10000,49
10000,50
10000,44
10000,55
10000,53
10000,48
10000,48
10000,53
10000,48
10000,51
1000,43
1000,45
1000,53
1000,52
1000,38
1000,45
1000,55
1000,51
1000,48
1000,48
10000,48
10000,54
10000,54
10000,56
10000,45
10000,51
10000,51
10000,42
10000,51
10000,51
1000,42
1000,40
1000,49
1000,43
1000,51
1000,50
1000,44
1000,46
1000,50
1000,41
10000,37
10000,44
10000,45
10000,52
10000,50
10000,53
10000,54
10000,53
10000,46
10000,46
1000,46
1000,47
1000,44
1000,46
1000,45
1000,51
1000,45
1000,45
1000,42
1000,47
10000,46
10000,52
10000,49
10000,48
10000,53
10000,54
10000,54
10000,43
10000,53
10000,44
1000,48
1000,34
1000,46
1000,39
1000,48
1000,41
1000,50
1000,55
1000,42
1000,49
10000,52
10000,53
10000,47
10000,52
10000,53
10000,50
10000,43
10000,46
10000,43
10000,53
1000,42
1000,45
1000,48
1000,45
1000,50
1000,44
1000,45
1000,47
1000,55
1000,37
10000,42
10000,52
10000,45
10000,46
10000,51
10000,56
10000,53
10000,52
10000,50
10000,50
1000,44
1000,47
1000,42
1000,47
1000,45
1000,42
1000,40
1000,42
1000,45
1000,51
10000,44
10000,52
10000,53
10000,46
10000,45
10000,49
10000,50
10000,52
10000,57
10000,44
1000,48
1000,41
1000,48
1000,48
1000,44
1000,44
1000,44
1000,46
1000,50
1000,39
10000,46
10000,48
10000,50
10000,50
10000,51
10000,45
10000,51
10000,51
10000,46
10000,52
1000,47
1000,50
1000,41
1000,47
1000,40
1000,40
1000,53
1000,55
1000,47
1000,44
10000,48
10000,45
10000,47
10000,48
10000,44
10000,53
10000,56
10000,44
10000,49
10000,49
1000,47
1000,46
1000,53
1000,48
1000,43
1000,43
1000,53
1000,47
1000,49
1000,51
10000,46
10000,45
10000,51
10000,52
10000,52
10000,48
10000,50
10000,48
10000,56
10000,50
